,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss
,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
step,,,,,,,,,,,,,,,,,,
0,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,
189,,,,18.0,36.64903335571289,,,,,18.0,35.60158920288086,,,,,18.0,37.95162582397461,
190,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
195,,,24.99822654724121,19.0,,,,,22.84382438659668,19.0,,,,,27.018014907836914,19.0,,
199,,,,19.0,36.65983657836914,,,,,19.0,36.059600830078125,,,,,19.0,37.423858642578125,
200,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
202,,,44.43371810913086,20.0,,,,,42.796966552734375,20.0,,,,,49.73408889770508,20.0,,
209,,,13.905411720275879,20.0,36.28429641723633,,,,12.882355690002441,20.0,35.35078811645508,,,,15.991727828979492,20.0,37.155216217041016,
210,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
216,,,29.10080451965332,21.0,,,,,22.781497955322266,21.0,,,,,32.215721130371094,21.0,,
219,,,,21.0,33.73519287109375,,,,,21.0,32.91499710083008,,,,,21.0,34.86072540283203,
220,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
223,,,22.508776092529295,22.0,,,,,20.932186126708984,22.0,,,,,24.51282501220703,22.0,,
229,,,,22.0,34.22121047973633,,,,,22.0,33.06090545654297,,,,,22.0,35.936363220214844,
230,,0.0010000000474974513,49.785892486572266,23.0,,,,0.0010000000474974513,48.175750732421875,23.0,,,,0.0010000000474974513,51.640419006347656,23.0,,
237,,,43.81332702636719,23.0,,,,,41.232154846191406,23.0,,,,,48.74065399169922,23.0,,
239,,,,23.0,34.31001434326172,,,,,23.0,32.828529357910156,,,,,23.0,35.5219841003418,
240,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
244,,,33.553955078125,24.0,,,,,31.38475799560547,24.0,,,,,35.21432113647461,24.0,,
249,,,,24.0,34.256859588623044,,,,,24.0,32.68266296386719,,,,,24.0,36.77521896362305,
250,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
251,,,34.55523872375488,25.0,,,,,30.427499771118164,25.0,,,,,37.054237365722656,25.0,,
258,,,29.512727737426758,25.0,,,,,27.745365142822266,25.0,,,,,31.27750015258789,25.0,,
259,,,,25.0,32.95667495727539,,,,,25.0,32.79994583129883,,,,,25.0,33.133514404296875,
260,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
265,,,40.27235412597656,26.0,,,,,33.254241943359375,26.0,,,,,44.379451751708984,26.0,,
269,,,,26.0,36.02974853515625,,,,,26.0,32.462032318115234,,,,,26.0,40.747291564941406,
270,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
272,,,44.9078872680664,27.0,,,,,38.34362030029297,27.0,,,,,54.41509246826172,27.0,,
279,,,39.008324432373044,27.0,32.389006805419925,,,,35.73894500732422,27.0,31.182449340820312,,,,44.15672302246094,27.0,33.059295654296875,
280,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
286,,,27.28752326965332,28.0,,,,,24.736827850341797,28.0,,,,,29.736600875854492,28.0,,
289,,,,28.0,35.36597900390625,,,,,28.0,32.77122116088867,,,,,28.0,39.17178726196289,
290,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
293,,,32.616386032104494,29.0,,,,,28.947553634643555,29.0,,,,,35.55803680419922,29.0,,
299,,,,29.0,34.030224609375,,,,,29.0,32.78366470336914,,,,,29.0,35.7431640625,
300,,0.0010000000474974513,25.56536293029785,30.0,,,,0.0010000000474974513,23.41840362548828,30.0,,,,0.0010000000474974513,27.682357788085938,30.0,,
307,,,27.28755912780762,30.0,,,,,24.026248931884766,30.0,,,,,29.936527252197266,30.0,,
309,,,,30.0,32.39510231018066,,,,,30.0,31.26808738708496,,,,,30.0,33.413734436035156,
310,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
314,,,36.809033966064455,31.0,,,,,32.90673065185547,31.0,,,,,39.244625091552734,31.0,,
319,,,,31.0,35.53498725891113,,,,,31.0,31.74479103088379,,,,,31.0,38.699832916259766,
320,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
321,,,23.00353660583496,32.0,,,,,21.22992515563965,32.0,,,,,24.00369644165039,32.0,,
328,,,30.285103607177735,32.0,,,,,29.691221237182617,32.0,,,,,30.953935623168945,32.0,,
329,,,,32.0,34.32140579223633,,,,,32.0,33.25447082519531,,,,,32.0,35.24562072753906,
330,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
335,,,38.24217987060547,33.0,,,,,36.909366607666016,33.0,,,,,39.400028228759766,33.0,,
339,,,,33.0,32.546891403198245,,,,,33.0,31.076086044311523,,,,,33.0,33.56081008911133,
340,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
342,,,41.69551010131836,34.0,,,,,39.58076477050781,34.0,,,,,45.52214431762695,34.0,,
349,,,20.339898109436035,34.0,35.549146270751955,,,,14.70677661895752,34.0,33.52119064331055,,,,26.054418563842773,34.0,38.61988830566406,
350,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
356,,,30.712849807739257,35.0,,,,,26.294666290283203,35.0,,,,,35.852813720703125,35.0,,
359,,,,35.0,37.7759895324707,,,,,35.0,36.58787536621094,,,,,35.0,40.017120361328125,
